"FECHA_CORTE","FECHA_EMISION","MES_FACTURACION","COD_EMPRESA","RAZON_SOCIAL","GRUPO","COD_SIS_ELECTR","COD_TARIFA","ATARIFA","USO","SUMINISTROS","PROMEDIO_CONSUMO"
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,0
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,3,123
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,529,6
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,5,10
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,3,"1P2E-MT Presente en Punta                                                                                                                             ",Comercial,1,1037
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,825,6
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,402
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,214
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,401,7
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0075,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,243,7
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0078,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,291,8
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0062,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,2,28
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0078,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,3,628
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0078,42,De 1 a 30 kW.h                                                                                                                                        ,Residencial,2,15
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0070,3,"1P2E-MT Presente en Punta                                                                                                                             ",Comercial,3,2016
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0070,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,569,9
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0076,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1280,9
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0062,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,23
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,154
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0066,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,8251,64
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0258,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,7,359
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0258,29,"2E-BT MD hasta 20 kW en HP y 50 kW en HFP                                                                                                             ",Comercial,1,19
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR5001,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4,17
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR5003,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,14
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0162,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,61,140
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0115,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,1,104
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0107,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,3317,8
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE3224,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4,18
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0107,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,23,43
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0109,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,236,9
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0224,45,De 151 a 300 kW.h                                                                                                                                     ,Residencial,2,190
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0224,49,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,1,1424
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0063,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,800
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0107,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,6,212
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0258,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,77
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0066,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,3,207
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0258,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,568,10
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0162,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,4,592
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0107,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,3,10
